district,village,office,agree,disagree
鳳山區,新富里,1405,532,10
鳳山區,新富里,1406,621,9
鳳山區,新富里,1407,556,13
鳳山區,老爺里,1408,559,12
鳳山區,老爺里,1409,735,17
鳳山區,老爺里,1410,714,28
鳳山區,老爺里,1411,485,15
鳳山區,老爺里,1412,487,12
鳳山區,中民里,1413,640,15
鳳山區,中民里,1414,628,12
鳳山區,中民里,1415,639,20
鳳山區,中崙里,1416,432,22
鳳山區,中崙里,1417,492,10
鳳山區,中榮里,1418,505,21
鳳山區,中榮里,1419,575,17
鳳山區,中榮里,1420,586,9
鳳山區,過埤里,1421,620,20
鳳山區,過埤里,1422,694,17
鳳山區,過埤里,1423,696,15
鳳山區,過埤里,1424,850,21
鳳山區,過埤里,1425,494,12
鳳山區,過埤里,1426,627,18
